pr,number,open,additions
pr,34547,2016-06-29T12:54:37Z,33
pr,34547,2016-06-29T12:54:37Z,20
pr,34550,2016-06-29T14:41:07Z,8
pr,34551,2016-06-29T15:27:54Z,12
pr,34552,2016-06-29T15:51:24Z,620
pr,34552,2016-06-29T15:51:24Z,620
pr,34553,2016-06-29T16:06:24Z,2
pr,34555,2016-06-29T16:32:54Z,1
pr,34556,2016-06-29T16:49:39Z,146
pr,34558,2016-06-29T17:48:38Z,1
pr,34561,2016-06-29T19:13:09Z,66
pr,34563,2016-06-29T20:47:05Z,11
pr,34566,2016-06-29T22:57:15Z,20
pr,34567,2016-06-30T00:02:40Z,227
pr,34570,2016-06-30T06:25:55Z,229
pr,34573,2016-06-30T11:41:54Z,50
pr,34573,2016-06-30T11:41:54Z,130
pr,34574,2016-06-30T13:17:47Z,1
pr,34574,2016-06-30T13:17:47Z,1
pr,34575,2016-06-30T14:47:45Z,1143
pr,34575,2016-06-30T14:47:45Z,1121
pr,34577,2016-06-30T16:02:40Z,3
pr,34577,2016-06-30T16:02:40Z,2
pr,34578,2016-06-30T17:29:22Z,1
pr,34578,2016-06-30T17:29:22Z,1
pr,34580,2016-06-30T18:15:05Z,125
pr,34580,2016-06-30T18:15:05Z,125
pr,34583,2016-06-30T21:07:53Z,0
pr,34584,2016-06-30T21:53:33Z,597
pr,34584,2016-06-30T21:53:33Z,597
pr,34585,2016-06-30T22:22:15Z,667
pr,34587,2016-06-30T22:27:51Z,28
pr,34589,2016-06-30T22:43:28Z,1
pr,34590,2016-06-30T22:52:12Z,1
pr,34591,2016-06-30T22:52:36Z,312
pr,34591,2016-06-30T22:52:36Z,310
pr,34594,2016-07-01T09:00:15Z,107
pr,34597,2016-07-01T16:43:36Z,1
pr,34599,2016-07-01T18:07:52Z,950
