open,effort,label
2018-03-28T03:44:27Z,217,T-compiler;WG-compiler-traits;T-compiler;WG-compiler-traits
2018-03-28T08:43:46Z,87,NULL
2018-03-28T08:50:22Z,59,NULL
2018-03-28T10:05:13Z,54,NULL
2018-03-28T12:10:58Z,7,NULL
2018-03-28T15:32:41Z,104,A-rustdoc;B-RFC-approved;T-dev-tools
2018-03-28T15:55:21Z,630,S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-bors;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review
2018-03-29T00:10:24Z,5,NULL
2018-03-29T03:46:54Z,165,B-RFC-approved;T-lang
2018-03-29T11:29:07Z,7,NULL
2018-03-29T23:31:22Z,74,S-waiting-on-bors;S-waiting-on-bors;S-waiting-on-review;S-waiting-on-bors;S-waiting-on-bors;S-waiting-on-bors;S-waiting-on-bors;S-waiting-on-bors;S-waiting-on-bors;S-waiting-on-review;S-waiting-on-bors;S-waiting-on-bors
2018-03-30T09:45:39Z,0,S-waiting-on-review;S-waiting-on-review
2018-03-30T13:03:19Z,0,NULL
2018-03-30T13:44:55Z,58,A-rustdoc;B-RFC-approved;T-dev-tools;A-rustdoc;B-RFC-approved;T-dev-tools
2018-03-30T13:55:54Z,131,NULL
2018-03-30T14:43:06Z,5,S-waiting-on-review
2018-03-30T17:13:39Z,4,S-waiting-on-review;S-waiting-on-review
2018-03-30T17:18:23Z,15,NULL
2018-03-30T20:32:19Z,67,S-waiting-on-review;S-waiting-on-review
2018-03-31T05:03:26Z,15,NULL
2018-03-31T06:09:37Z,5,NULL
2018-03-31T11:58:38Z,29,NULL
2018-03-31T21:18:08Z,218,A-macros-2.0
2018-03-31T22:11:23Z,22,NULL
2018-04-01T00:38:45Z,1,NULL
2018-04-01T04:09:14Z,0,NULL
2018-04-01T05:36:47Z,32,NULL
2018-04-01T06:44:32Z,0,NULL
2018-04-01T10:01:55Z,10,NULL
2018-04-01T14:59:37Z,64,NULL
2018-04-01T16:04:58Z,143,S-waiting-on-bors;S-waiting-on-review
2018-04-01T17:01:30Z,114,WG-embedded;WG-embedded
2018-04-02T02:17:58Z,29,B-RFC-approved;B-unstable;T-lang;T-libs;B-RFC-approved;B-unstable;T-lang;T-libs
2018-04-02T03:58:52Z,3,NULL
2018-04-02T04:37:10Z,5,B-unstable;C-tracking-issue;T-libs;B-unstable;C-tracking-issue;T-libs
2018-04-02T11:20:58Z,274,NULL
2018-04-02T19:16:59Z,1046,A-macros-2.0
2018-04-02T19:28:30Z,0,A-traits;WG-compiler-traits;S-waiting-on-author;A-traits;WG-compiler-traits;S-waiting-on-author
2018-04-02T22:06:00Z,33,NULL
2018-04-02T22:57:38Z,22,NULL
2018-04-03T00:02:02Z,27,NULL
2018-04-03T00:09:26Z,0,B-RFC-approved;B-unstable;T-lang;T-libs;B-RFC-approved;B-unstable;T-lang;T-libs
2018-04-03T00:22:26Z,29,S-waiting-on-review;S-waiting-on-review
2018-04-03T01:17:53Z,0,WG-epoch;WG-epoch
