survived,year of survival,num_easy_y1,effort_y1
0,0,0,14
0,0,1,28
0,0,0,12
1,2019,15,5927
0,0,0,126
0,0,0,229
0,0,0,2
0,0,0,83
0,0,3,378
0,0,0,18
0,0,1,8
0,0,0,2
0,0,0,2
0,0,3,2929
0,0,1,8
0,0,0,50
1,2017,0,92
0,0,0,5
0,0,0,113
0,0,0,194
0,0,0,16
0,0,0,1
0,0,0,71
0,0,0,146
0,0,0,12
0,0,0,298
0,0,0,22
0,0,0,4
0,0,0,34
0,0,0,8
0,0,0,6
0,0,0,169
0,0,0,2
0,0,0,36
0,0,0,60
0,0,0,2
1,2017,5,34255
0,0,0,18
0,0,0,2
0,0,0,2
0,0,0,45
0,0,0,51
0,0,0,52
0,0,0,15268
1,2016,0,3549
0,0,0,34
0,0,0,1
1,2015,0,2
0,0,0,48
0,0,0,137
1,2015,0,845
0,0,0,14
0,0,0,16
0,0,0,16
0,0,0,4
0,0,1,10
0,0,2,24
0,0,0,1505
0,0,6,221
0,0,0,334
0,0,3,30
0,0,0,18
0,0,0,45
0,0,0,157
1,2016,3,2357
0,0,0,13625
0,0,0,2
0,0,0,42
0,0,0,339
1,2016,6,868
0,0,0,7
0,0,0,51
1,2015,0,216231
0,0,0,8
0,0,0,4
0,0,55,28578
1,2017,0,19
0,0,0,1709
0,0,0,49
0,0,0,1545
0,0,0,162
0,0,0,37
0,0,0,17
0,0,0,1
0,0,0,4
0,0,0,1
0,0,0,17
0,0,0,67
0,0,0,212
1,2015,0,1858
0,0,0,2
1,2013,0,245
0,0,1,238
0,0,0,278
0,0,0,31
0,0,0,13
0,0,0,6
0,0,0,22
0,0,0,2
0,0,0,38
1,2015,1,36
0,0,0,8
1,2014,0,88
1,2015,0,426
0,0,1,2
0,0,1,122
1,2014,0,70
0,0,0,8
1,2016,0,26
0,0,0,6
0,0,0,16
0,0,2,6
0,0,0,643
0,0,0,24
0,0,0,1534
0,0,0,36
0,0,0,266
0,0,0,2
1,2013,0,317
1,2019,0,2
0,0,0,8
0,0,0,2
0,0,0,6
1,2016,0,2
0,0,0,342
0,0,0,96
0,0,0,26
0,0,0,1
0,0,0,2
0,0,1,8
1,2012,0,6211
0,0,0,35
0,0,0,2
1,2017,0,16
0,0,0,42
0,0,0,91
1,2018,0,20
0,0,0,34
0,0,0,100
0,0,0,884
1,2015,0,908
1,2014,0,14154
0,0,0,4
0,0,0,2
0,0,0,10
0,0,0,145
0,0,0,90
0,0,0,40
0,0,0,138
0,0,0,5
1,2015,0,2
0,0,0,42
0,0,0,2
0,0,2,90
0,0,1,140
1,2015,14,15798
