Month,A-NLL,A-allocators,A-amusing,A-associated-items,A-async-await,A-attributes,A-bitrig,A-bsd,A-build,A-closures,A-codegen,A-collections,A-concurrency,A-const-fn,A-debuginfo,A-destructors,A-diagnostics,A-docs,A-dragonflybsd,A-dst,A-edition-2018-lints,A-frontend,A-hir,A-infrastructure,A-io,A-iterators,A-lang,A-libs,A-lifetimes,A-linkage,A-lint,A-linux,A-llvm,A-macros,A-macros-1.2,A-mir,A-openbsd,A-parallel-queries,A-parser,A-plugin,A-resolve,A-runtime,A-rust-2018-preview,A-rustbuild,A-rustdoc,A-save-analysis,A-stability,A-syntaxext,A-testsuite,A-tools,A-traits,A-typesystem,A-unicode,A-windows,A-x86_64,T-compiler,T-core,T-dev-tools,T-dev-tools-rustdoc,T-doc,T-infra,T-lang,T-libs,T-release,T-rustdoc,Unlabeled
2016-07,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,119,2102,0,0,0,0,0,0,0,0,0,20,0,186,389,0,0,0,0,0,0,0,0,0,0,5467,0,12,0,0,0,40,0,185,0,0,0,959,0,2047,0,0,0,0,0,1275,303,0,0,13942
2016-08,0,0,0,0,0,0,0,0,2,0,43,0,0,0,351,0,2289,546,0,0,0,0,0,273,0,0,0,64,19,0,0,0,0,55,0,472,0,0,0,0,0,0,0,0,61,0,0,0,59,0,0,0,0,0,0,6420,0,0,0,0,0,6722,14912,0,0,22137
2016-09,0,0,0,0,0,0,0,0,16,0,498,69,0,0,0,0,165,1531,0,0,0,0,0,0,0,0,0,0,0,0,3235,0,77,540,0,0,0,0,0,0,0,0,0,0,0,0,0,101,715,0,0,0,0,0,0,107,0,0,0,0,0,1101,1462,0,0,9747
2016-10,0,0,0,0,0,0,0,0,114,0,4,1291,0,0,270,0,63,377,0,0,0,0,0,0,0,0,857,45,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,2423,4,0,0,0,6,0,613,0,0,0,0,0,1384,474,0,0,14641
2016-11,0,0,0,0,0,0,0,0,0,0,562,0,0,0,0,0,434,0,0,0,0,0,0,0,0,0,0,7386,0,0,0,0,0,0,0,0,0,0,801,0,0,0,0,1542,0,0,0,0,514,1231,1800,0,0,0,0,1656,0,0,0,0,0,0,109,0,0,15954
2016-12,0,0,0,0,0,0,0,0,0,0,1019,0,0,0,232,0,203,463,0,0,0,6,0,59,0,0,0,140,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,114,53,0,0,86,0,153,0,0,0,0,0,701,0,0,0,0,0,2717,288,0,0,31351
2017-01,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,641,63,0,0,0,0,0,185,0,0,0,70,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,4456,2,0,0,0,0,0,0,0,0,192,0,2192,0,0,0,5,0,2491,751,0,0,32727
2017-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11990,10029,0,0,0,0,0,0,0,0,0,167,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,0,0,642,0,1277,0,0,0,2117,0,463,2572,0,0,26469
2017-03,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,0,270,16090,0,0,0,0,0,130,0,0,0,0,0,0,0,0,4,136,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,1642,0,0,165,0,22292,0,0,0,0,0,2203,3604,0,0,51825
2017-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1621,2554,0,0,0,0,0,1062,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,809,0,0,0,0,0,0,77,0,0,0,0,165,0,0,0,626,0,63,299,0,0,25460
2017-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,500,715,0,0,0,0,0,134,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6504,72,0,0,0,379,0,0,0,0,331,0,587,0,0,0,0,0,510,299,0,0,19338
2017-06,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,205,212,0,0,0,0,0,0,0,0,0,170,623,0,1086,0,0,503,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,1034,0,1135,0,0,0,1066,303,0,0,20356
2017-07,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,1570,36,0,0,0,0,0,0,0,0,748,0,0,157,414,0,0,175,0,0,0,0,0,0,0,0,0,1077,198,0,0,0,0,0,0,0,0,5,0,3915,0,0,0,0,12052,7768,995,0,0,15938
2017-08,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,1528,1382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,266,0,0,0,0,0,0,0,0,0,0,4500,0,995,0,4,84,817,501,0,0,21521
2017-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849,840,0,0,0,0,0,0,0,0,0,522,0,0,0,0,0,160,0,0,0,0,0,0,13,0,0,594,37,0,0,0,181,0,0,0,0,0,0,6736,0,0,0,300,0,1054,2730,0,0,21531
2017-10,0,0,0,0,0,0,0,0,0,0,811,0,0,0,0,0,1781,235,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1319,0,0,710,10610,0,0,2826,0,0,0,71,0,1794,210,0,0,17889
2017-11,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,4636,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,350,0,0,0,885,0,0,0,0,0,0,9829,0,0,0,0,0,1667,753,0,0,17218
2017-12,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,10969,0,0,0,0,0,0,0,0,0,0,0,0,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,724,0,0,0,0,1299,0,2635,0,0,0,59,1033,406,103,0,0,42146
2018-01,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,14,0,0,0,0,3079,0,0,0,0,0,0,0,0,0,0,8551,0,0,0,0,936,2222,1207,0,0,18789
2018-02,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,0,0,0,0,0,0,0,0,0,0,61,0,0,1633,0,0,0,0,0,0,0,273,160,0,0,0,40,92,0,0,0,0,0,0,0,0,0,0,2704,231,0,0,2271,839,8014,2783,0,0,27872
